PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
707a724a0c70cfe165e37f6f11604f005fcda31b82699cf6dee8fc416345cd87;10901 Macleod Trail South;Não informado;Não informado;Não informado;10019913;0;Canada;Calgary;CA;AB;T2J 4L3
8bc6dc615de70df21956a64e85e434ca828bb62e1152a17ed21b23d2f10f201f;1051 West 7th Street;Building # 2;Não informado;Não informado;10016045;4;Central;Monroe;US;WI;53566
358681c368677ec4d98ca6d7dab77d2674afdcc8c0915d3881e93dcc78699cb0;Parts Division;140-2 Kye-Dong;Chongro-Ku;Não informado;10025242;5;International;Seoul;AU;Não informado;110-793
420be02ec4bbfff6a4d04bb939282ccadac69cb52192e70171e941bbec5de4dd;167 East Kalamazoo Avenue;Não informado;Não informado;Não informado;10009676;4;Central;Kalamazoo;US;MI;49007
e018ed028a4d84a0850ff8e337bb4899f103acc791210c034c3f039dc03f9e87;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;10022450;4;Central;Overland Park;US;KS;66282-2990
f62f2fb43a0ecfa0ebb0e6a79ced2d07f84ebed07fdb2040e0fad57349a1baf7;5300 Glenmont Drive;Não informado;Não informado;Não informado;10025814;2;Southern;Houston;US;TX;77081
939db72b5e97d3fc7fc5aa442e23dccc6bb286a6e3127b4d8c82348de5802328;2210 Bowen Road;Não informado;Não informado;Não informado;10027572;3;Northeast;Elma;US;NY;14059
2cd1e8b98f4e9daafdc0acff6244d52bd6949d9b468fd01ea917a1648704ac28;PO Box 871 Safat;Não informado;Não informado;Não informado;10018868;5;International;Não informado;AU;Não informado;Não informado
911f5c56ceebba3d8d5c6dc16f91b7174a7b3047a3f4bf1c5cad8882e2107fca;PO Box 7100;Não informado;Não informado;Não informado;10009885;0;Canada;Winnipeg;CA;MB;R3C 3B3
7cbd6ce6ffbb77612dc490619eb192bb8463c7a8f48bcbd757bd9ab4bbc59e52;PO Box 266;Não informado;Não informado;Não informado;10002489;2;Southern;Villa Rica;US;GA;30180-0266
1bc0d034e1405b8b4dfbd7b67a942d8605660b728f4c5f4c3dfa642f3c2c34c3;2301 Central Parkway;Não informado;Não informado;Não informado;10026062;2;Southern;Houston;US;TX;77092
107421722d7359e1f2898a082eafa7da5ee55d05e9074efc9d04dca84fa2d533;Rua Eng Ferreira Dia 241-243;Não informado;Não informado;Não informado;10011979;5;International;4100 Porto;UK;Não informado;Não informado
070e682b631a8046da165be58e4171ad16bbb461da237026fa6da9a70ba77493;Dallas PDC #15;Attention  Accounts Payable;PO Box 167728;Não informado;10013252;2;Southern;Irving;US;TX;75016-7728
7fc3f62d06be3c202edfa9f884ac7a94deebc6ae8eb0e008f08e3a07a3d17487;5100 Highway 93 South;Não informado;Não informado;Não informado;10026055;4;Central;Eau Claire;US;WI;54701
7c7638e7eebb53cbc53cb01e43b6b9a3f3dd7289e183db674c22e57e63b55979;Corporation USA;Nissan Drive;Não informado;Não informado;10020184;2;Southern;Smyrna;US;TN;37167
bd9273679d91fb2e1afd0ff8de20fc8ef1137ab3b66fc2be4bfcef250be4af0d;1809 Main Street;Não informado;Não informado;Não informado;10025508;0;Canada;Moncton;CA;NB;E1E 1H5
7575519a0f8a30194a14fa8ec19e042c4f6cb04cb8344b4500025274064c57ab;8000 Haskell Avenue;Não informado;Não informado;Não informado;10000472;1;Western;Van Nuys;US;CA;91406
b7ce9b29aaab488732b85d20b263215480a01c6b653e727fa9cbd95b52e3cfa7;c/o Tom's Bronco Parts;2294 Sage Road;Não informado;Não informado;10023212;1;Western;Medford;US;OR;97501
85c539a2e6743033360858b9534c27293ab22e3afdec24b159c7a9b58c1b8e8d;Não informado;Não informado;Não informado;Não informado;10011732;5;International;Não informado;UK;Não informado;Não informado
